survival_outcome,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,total_score,vendor_id,data_source
Failed,2,1,1,2,1,2,1,1,3,1,3,1,2,3,2,26,MOCK_001,mock
Failed,1,3,1,1,2,1,1,1,2,1,1,1,1,3,2,22,MOCK_002,mock
Failed,1,2,1,2,3,1,1,1,1,3,2,1,2,3,1,25,MOCK_003,mock
Failed,3,3,1,2,2,1,2,1,1,1,1,1,1,3,2,25,MOCK_004,mock
Survived,3,2,2,3,3,3,3,2,3,3,3,3,1,3,3,40,MOCK_005,mock
Survived,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,43,MOCK_006,mock
Survived,2,2,2,3,3,3,3,2,3,3,2,3,1,3,3,38,MOCK_007,mock
Failed,2,1,1,3,3,1,3,3,1,2,3,1,1,1,1,27,MOCK_008,mock
Failed,1,3,2,2,1,1,2,1,1,1,1,3,2,2,2,25,MOCK_009,mock
Failed,1,1,2,1,2,3,3,2,1,2,3,2,1,2,1,27,MOCK_010,mock
Survived,3,2,1,3,2,3,2,3,3,1,3,3,3,2,3,37,MOCK_011,mock
Failed,2,3,3,3,3,1,1,2,2,1,3,1,1,2,1,29,MOCK_012,mock
Failed,2,3,2,1,3,1,1,2,1,3,1,2,1,2,1,26,MOCK_013,mock
Survived,2,2,2,3,1,3,1,3,1,2,3,1,3,2,3,32,MOCK_014,mock
Survived,3,2,3,3,3,3,3,3,2,3,3,3,2,3,3,42,MOCK_015,mock
Survived,2,2,3,3,3,3,3,3,3,3,2,3,2,3,3,41,MOCK_016,mock
Survived,3,2,1,3,2,2,1,3,2,3,3,3,2,3,3,36,MOCK_017,mock
Failed,2,1,1,1,2,2,1,2,2,3,1,1,1,1,1,22,MOCK_018,mock
Failed,2,2,3,1,3,2,2,2,2,1,3,1,3,1,1,29,MOCK_019,mock
Survived,3,3,3,3,1,3,3,3,3,3,1,3,2,2,3,39,MOCK_020,mock
Failed,2,3,1,3,2,3,1,2,1,3,2,1,3,3,1,31,MOCK_021,mock
Survived,3,3,2,1,2,2,3,2,2,3,2,1,3,2,3,34,MOCK_022,mock
Survived,2,1,3,3,3,3,1,3,3,3,1,3,3,3,3,38,MOCK_023,mock
Failed,1,2,2,1,3,3,1,3,2,1,1,2,3,1,1,27,MOCK_024,mock
Failed,1,1,2,2,3,1,3,1,2,1,1,1,1,1,1,22,MOCK_025,mock
Failed,1,2,1,3,2,2,3,2,2,1,2,3,3,3,1,31,MOCK_026,mock
Survived,3,2,3,3,3,3,1,2,1,3,2,2,1,3,3,35,MOCK_027,mock
Failed,1,3,2,1,3,1,3,2,3,3,2,3,2,1,2,32,MOCK_028,mock
Failed,3,2,1,2,1,3,2,1,3,1,1,1,2,2,2,27,MOCK_029,mock
Survived,3,2,2,3,3,3,3,3,2,3,2,3,3,1,3,39,MOCK_030,mock
Failed,2,1,2,1,1,3,2,2,3,1,2,2,2,2,1,27,MOCK_031,mock
Survived,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,43,MOCK_032,mock
Survived,3,2,3,2,2,3,3,3,3,3,3,3,1,2,3,39,MOCK_033,mock
Failed,2,1,2,1,1,1,2,2,2,3,3,1,1,1,1,24,MOCK_034,mock
Failed,1,1,1,2,1,2,1,3,3,2,2,3,2,1,1,26,MOCK_035,mock
Failed,2,2,1,1,2,1,1,1,2,1,2,1,2,3,1,23,MOCK_036,mock
Survived,3,1,3,3,3,3,2,3,2,2,3,3,3,3,3,40,MOCK_037,mock
Survived,1,3,2,3,3,3,3,2,3,2,2,3,3,1,3,37,MOCK_038,mock
Failed,2,2,1,2,1,3,1,3,3,1,1,2,3,2,1,28,MOCK_039,mock
Failed,1,1,1,2,1,1,2,3,1,1,1,1,2,1,2,21,MOCK_040,mock
Survived,3,1,1,1,3,3,3,3,3,3,3,3,2,3,2,37,MOCK_041,mock
Failed,3,3,1,2,3,2,1,3,1,2,1,2,1,2,3,30,MOCK_042,mock
Survived,3,2,2,2,2,3,3,3,3,3,3,3,3,3,2,40,MOCK_043,mock
Failed,1,2,1,3,2,2,2,2,2,1,3,3,2,3,1,30,MOCK_044,mock
Survived,1,3,2,2,3,3,3,2,3,3,3,3,1,3,3,38,MOCK_045,mock
Failed,3,3,3,1,2,2,1,2,1,2,2,1,1,1,2,27,MOCK_046,mock
Survived,3,3,3,2,2,2,3,2,2,2,1,2,3,3,3,36,MOCK_047,mock
Failed,3,3,2,3,1,1,3,3,1,2,3,1,2,1,1,30,MOCK_048,mock
Failed,3,2,3,2,3,3,3,2,3,2,2,1,2,2,1,34,MOCK_049,mock
Survived,3,1,3,3,1,3,3,3,3,2,1,3,3,2,3,37,MOCK_050,mock
Failed,1,3,1,1,3,2,2,1,1,1,1,1,1,2,1,22,MOCK_051,mock
Failed,1,2,2,2,2,1,2,1,3,2,3,3,1,1,1,27,MOCK_052,mock
Failed,3,2,2,1,3,1,3,1,3,1,2,2,1,1,1,27,MOCK_053,mock
Failed,1,3,2,3,3,1,2,1,3,3,3,1,1,3,1,31,MOCK_054,mock
Failed,1,1,1,1,3,2,1,1,3,3,3,2,2,1,2,27,MOCK_055,mock
Failed,2,2,1,1,1,1,3,3,1,2,2,1,2,2,3,27,MOCK_056,mock
Survived,3,1,2,1,3,3,3,3,3,3,2,3,3,2,3,38,MOCK_057,mock
Survived,3,2,3,3,3,3,3,3,3,3,2,3,3,1,2,40,MOCK_058,mock
Survived,3,1,3,3,3,2,2,3,3,3,2,3,2,1,2,36,MOCK_059,mock
Survived,2,2,3,1,3,3,3,3,3,3,2,3,3,2,3,39,MOCK_060,mock
Failed,2,1,1,2,3,1,1,2,2,1,3,3,2,3,1,28,MOCK_061,mock
Survived,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,42,MOCK_062,mock
Failed,1,2,2,2,3,1,1,3,1,2,3,2,1,3,2,29,MOCK_063,mock
Failed,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,26,MOCK_064,mock
Survived,3,3,2,3,3,1,3,3,3,2,3,3,3,3,3,41,MOCK_065,mock
Failed,2,2,1,2,2,1,1,3,3,2,2,1,1,2,1,26,MOCK_066,mock
Survived,3,2,2,2,2,3,3,2,1,2,3,3,2,3,1,34,MOCK_067,mock
Failed,2,3,1,1,1,1,2,3,1,1,2,1,2,2,3,26,MOCK_068,mock
Survived,3,2,2,3,3,3,3,2,2,2,2,3,3,2,3,38,MOCK_069,mock
Failed,1,3,1,3,1,1,3,3,2,1,2,2,1,1,2,27,MOCK_070,mock
Failed,3,1,1,1,1,2,2,1,3,2,1,1,2,3,2,26,MOCK_071,mock
Survived,3,3,3,2,2,3,3,3,2,3,2,3,3,3,3,41,MOCK_072,mock
Survived,3,1,2,3,1,3,3,3,3,2,2,3,3,3,3,38,MOCK_073,mock
Failed,3,3,2,1,1,1,2,3,3,3,2,2,1,1,1,29,MOCK_074,mock
Failed,2,2,1,1,3,1,1,2,2,3,3,2,3,3,2,31,MOCK_075,mock
Failed,2,3,3,1,2,1,2,1,2,3,2,3,1,2,3,31,MOCK_076,mock
Failed,2,1,1,2,1,1,3,1,2,1,2,1,1,2,3,24,MOCK_077,mock
Survived,3,2,3,3,3,3,3,3,3,3,2,3,1,2,2,39,MOCK_078,mock
Failed,2,3,3,1,1,1,3,1,1,3,2,1,1,2,1,26,MOCK_079,mock
Survived,3,2,3,2,3,3,2,3,3,3,1,3,3,2,3,39,MOCK_080,mock
Failed,3,2,3,1,3,2,3,1,2,1,1,1,1,1,2,27,MOCK_081,mock
Failed,1,2,1,2,1,2,1,3,3,1,1,3,3,3,3,30,MOCK_082,mock
Failed,1,2,1,1,1,2,2,2,2,1,2,3,1,1,1,23,MOCK_083,mock
Survived,2,2,3,2,3,1,1,3,3,3,1,2,2,1,3,32,MOCK_084,mock
Survived,3,2,3,3,3,3,2,2,2,3,2,3,2,1,3,37,MOCK_085,mock
Survived,1,3,3,2,3,3,2,3,3,3,2,3,1,3,3,38,MOCK_086,mock
Failed,2,1,2,2,2,1,1,3,1,1,3,2,1,2,1,25,MOCK_087,mock
Failed,2,1,1,1,1,1,2,2,1,2,1,3,2,1,1,22,MOCK_088,mock
Failed,1,3,2,1,3,1,1,2,2,3,2,2,2,3,2,30,MOCK_089,mock
Failed,2,3,1,1,1,1,2,2,3,1,1,1,2,3,1,25,MOCK_090,mock
Survived,1,2,3,3,3,3,2,2,2,3,3,2,3,2,3,37,MOCK_091,mock
Failed,1,2,1,3,2,1,1,2,1,3,1,1,2,2,3,26,MOCK_092,mock
Failed,3,1,2,3,2,2,1,1,3,1,1,2,1,3,1,27,MOCK_093,mock
Failed,1,1,1,1,2,2,1,1,1,2,2,1,2,2,3,23,MOCK_094,mock
Failed,1,2,1,2,1,2,2,1,2,1,1,2,3,1,1,23,MOCK_095,mock
Failed,2,2,2,1,1,1,2,1,2,2,1,2,2,3,2,26,MOCK_096,mock
Failed,2,2,1,1,1,1,2,1,2,2,1,2,2,2,3,25,MOCK_097,mock
Failed,1,1,2,3,1,1,2,1,1,2,1,3,1,1,1,22,MOCK_098,mock
Survived,3,3,2,1,3,3,2,3,3,3,1,3,3,3,1,37,MOCK_099,mock
Survived,2,3,3,2,3,3,3,3,3,3,2,3,3,1,3,40,MOCK_100,mock
Survived,2,3,3,2,1,1,3,3,3,3,3,3,3,2,2,37,MOCK_101,mock
Failed,2,2,1,1,3,3,2,1,1,2,2,2,3,2,2,29,MOCK_102,mock
Survived,3,2,3,2,3,2,1,3,3,2,2,3,2,1,3,35,MOCK_103,mock
Failed,2,3,1,2,3,1,1,2,1,2,1,3,1,1,1,25,MOCK_104,mock
Failed,2,2,1,2,3,2,1,1,2,2,3,1,2,2,1,27,MOCK_105,mock
Survived,3,2,3,3,2,3,2,2,2,3,2,2,3,1,3,36,MOCK_106,mock
Failed,2,3,1,3,1,2,2,2,3,3,1,3,1,3,2,32,MOCK_107,mock
Failed,1,3,3,1,3,2,2,1,1,3,2,1,1,1,1,26,MOCK_108,mock
Survived,3,3,2,2,3,3,3,3,3,3,1,3,1,2,3,38,MOCK_109,mock
Survived,3,3,3,3,2,3,3,3,2,3,2,3,2,2,3,40,MOCK_110,mock
Survived,3,2,3,3,3,2,3,2,3,2,2,1,3,2,3,37,MOCK_111,mock
Survived,2,2,3,2,2,3,3,2,3,2,3,3,3,1,3,37,MOCK_112,mock
Failed,1,3,1,2,1,1,3,2,3,1,2,1,1,2,2,26,MOCK_113,mock
Failed,3,3,1,1,2,2,1,2,1,3,2,2,1,3,1,28,MOCK_114,mock
Failed,3,1,1,2,2,1,1,1,2,2,3,2,1,1,1,24,MOCK_115,mock
Failed,2,1,3,2,2,2,1,3,2,1,1,3,1,2,3,29,MOCK_116,mock
Failed,1,2,3,1,1,1,2,1,3,1,1,1,2,2,2,24,MOCK_117,mock
Survived,2,3,3,3,3,3,3,3,3,3,2,3,3,3,1,41,MOCK_118,mock
Failed,1,3,1,2,1,1,1,3,1,1,2,2,3,2,1,25,MOCK_119,mock
Failed,1,1,2,1,1,1,3,1,1,3,2,2,1,1,1,22,MOCK_120,mock
Failed,2,2,3,3,3,1,1,1,2,2,3,2,3,1,1,30,MOCK_121,mock
Failed,2,2,1,2,3,1,3,1,1,2,2,1,3,2,1,27,MOCK_122,mock
Survived,3,3,1,3,3,3,2,3,3,3,3,2,3,3,2,40,MOCK_123,mock
Survived,3,3,3,3,3,3,1,2,3,3,2,3,3,2,3,40,MOCK_124,mock
Survived,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,44,MOCK_125,mock
Failed,2,2,3,1,2,1,1,1,1,2,3,1,1,3,2,26,MOCK_126,mock
Failed,2,2,1,1,1,1,1,2,2,2,3,1,1,3,2,25,MOCK_127,mock
Failed,2,1,3,2,1,2,1,3,2,1,1,3,1,3,1,27,MOCK_128,mock
Survived,3,1,2,3,3,3,3,3,3,3,3,1,2,3,3,39,MOCK_129,mock
Failed,1,3,1,1,1,1,2,2,1,1,1,3,2,1,3,24,MOCK_130,mock
Failed,1,3,1,1,2,2,1,1,2,1,1,2,2,2,2,24,MOCK_131,mock
Survived,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,41,MOCK_132,mock
Survived,1,3,3,3,2,3,3,3,3,3,3,2,1,1,3,37,MOCK_133,mock
Failed,1,2,2,2,1,3,1,1,2,2,2,1,3,2,2,27,MOCK_134,mock
Failed,1,3,1,1,2,3,2,1,2,2,1,2,3,2,1,27,MOCK_135,mock
Survived,1,3,3,2,1,3,2,3,3,3,2,3,3,2,3,37,MOCK_136,mock
Failed,3,3,1,1,3,1,1,1,1,1,2,2,3,3,2,28,MOCK_137,mock
Failed,2,1,3,3,2,2,2,1,3,2,1,1,2,2,2,29,MOCK_138,mock
Failed,2,2,1,1,2,1,1,1,2,1,1,2,3,3,2,25,MOCK_139,mock
Failed,1,1,1,2,2,1,2,1,1,3,2,2,1,1,1,22,MOCK_140,mock
Failed,2,3,1,1,3,1,2,3,1,3,2,2,1,1,1,27,MOCK_141,mock
Survived,3,2,3,3,3,3,1,3,3,3,1,3,2,3,3,39,MOCK_142,mock
Failed,1,1,2,2,2,3,2,2,2,2,1,3,1,1,2,27,MOCK_143,mock
Survived,3,3,3,3,3,3,2,1,3,3,2,3,2,3,3,40,MOCK_144,mock
Survived,3,2,2,2,2,3,3,3,3,3,3,2,3,3,3,40,MOCK_145,mock
Survived,3,2,3,1,3,3,3,3,3,3,3,3,3,2,3,41,MOCK_146,mock
Failed,2,1,1,1,3,1,3,1,2,1,2,1,2,2,3,26,MOCK_147,mock
Failed,1,2,2,3,2,1,2,1,1,1,1,1,1,2,2,23,MOCK_148,mock
Survived,3,2,3,3,3,3,1,3,3,3,3,3,3,2,3,41,MOCK_149,mock
Survived,3,3,3,3,3,2,3,2,3,3,1,1,3,3,3,39,MOCK_150,mock
Failed,2,2,1,2,2,3,3,2,1,1,2,1,1,3,2,28,MOCK_151,mock
Survived,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,41,MOCK_152,mock
Survived,3,2,3,2,3,3,3,1,3,3,3,3,2,3,3,40,MOCK_153,mock
Failed,1,2,1,3,2,2,3,1,2,3,3,3,1,2,1,30,MOCK_154,mock
Failed,1,3,1,1,2,1,1,3,3,1,2,1,3,3,1,27,MOCK_155,mock
Survived,3,2,3,3,3,3,2,3,3,3,2,3,2,3,3,41,MOCK_156,mock
Failed,1,1,2,2,1,3,2,3,2,1,3,2,2,2,3,30,MOCK_157,mock
Failed,2,1,2,1,3,1,2,2,1,1,1,1,3,3,1,25,MOCK_158,mock
Survived,3,3,3,2,3,3,3,2,3,3,2,2,3,2,3,40,MOCK_159,mock
Failed,2,2,3,2,1,2,3,2,2,2,1,2,1,3,1,29,MOCK_160,mock
Failed,1,2,1,1,3,3,1,2,1,2,1,2,1,1,1,23,MOCK_161,mock
Failed,2,1,1,2,1,1,1,3,1,2,2,2,1,1,1,22,MOCK_162,mock
Failed,2,1,1,1,1,2,3,1,3,1,1,1,2,1,1,22,MOCK_163,mock
Failed,2,1,2,1,2,2,1,2,1,3,2,1,2,3,2,27,MOCK_164,mock
Survived,3,2,1,2,2,3,3,2,3,3,3,3,2,3,2,37,MOCK_165,mock
Failed,1,2,2,1,3,1,2,1,2,3,1,1,3,2,1,26,MOCK_166,mock
Survived,3,2,3,3,3,3,3,3,2,3,2,2,3,3,3,41,MOCK_167,mock
Survived,3,2,3,2,3,3,1,3,3,2,2,2,2,3,2,36,MOCK_168,mock
Survived,2,3,3,3,1,2,3,3,3,3,2,3,3,3,3,40,MOCK_169,mock
Failed,1,1,3,2,1,1,2,1,1,1,2,3,2,2,1,24,MOCK_170,mock
Failed,1,2,1,2,2,3,2,2,1,2,2,1,1,1,2,25,MOCK_171,mock
Survived,1,3,3,3,3,2,2,3,3,2,3,3,2,2,3,38,MOCK_172,mock
Failed,1,2,1,2,2,3,2,3,1,1,2,1,3,3,1,28,MOCK_173,mock
Survived,3,2,3,2,2,3,3,3,3,3,2,3,3,3,2,40,MOCK_174,mock
Failed,1,3,3,1,2,1,1,2,1,1,2,1,2,1,1,23,MOCK_175,mock
Survived,3,3,2,2,3,3,1,3,3,3,2,3,3,1,2,37,MOCK_176,mock
Failed,3,1,1,2,3,1,1,2,1,1,1,3,1,3,2,26,MOCK_177,mock
Failed,1,3,2,1,1,1,2,1,1,2,3,2,1,1,3,25,MOCK_178,mock
Failed,3,2,2,2,3,1,2,1,3,2,2,1,2,2,2,30,MOCK_179,mock
Survived,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,43,MOCK_180,mock
Failed,1,2,2,1,3,1,1,1,1,1,3,1,1,2,1,22,MOCK_181,mock
Survived,3,3,3,3,3,3,2,3,3,2,3,3,3,2,3,42,MOCK_182,mock
Failed,2,2,1,1,2,3,2,2,2,1,3,2,3,2,1,29,MOCK_183,mock
